name,Bahasa/External ID,teks
1,2,"Bā’ adalah kata depan yang dipakai untuk menyatakan beberapa arti dan arti yang lebih tepat di sini ialah “dengan.” Maka kata majemuk Bism itu akan berarti “dengan nama”. Menurut kebiasaan orang Arab, kata Iqra’ atau Aqra’u atau Naqra’u atau Isyra‘ atau Asyra‘u atau Nasyra‘u harus dianggap ada tercantum sebelum ‘Bismillāh’, suatu ungkapan dengan arti “mulailah dengan nama Allah,” atau “Bacalah dengan nama Allah” atau “aku atau kami mulai dengan nama Allah,” atau “aku atau kami baca dengan nama Allah.” Dalam terjemahan ini ucapan ‘Bismillāh’ diterjemahkan “dengan nama Allah,” yang merupakan bentuk yang lebih lazim (Lane)."
2,2,"Ism mengandung arti: nama atau sifat (Aqrab). Di sini kata itu dipakai dalam kedua pengertian tersebut. Kata itu merujuk kepada ‘Allah,’ nama wujud Tuhan; dan kepada Al-Rahmān (Maha Pemurah) serta Al-Rahīm (Maha Penyayang). Keduanya nama sifat Allah Swt"
3,2,"Allāh adalah nama Dzat Mahaagung, Pemilik Tunggal semua sifat kesempurnaan dan sama sekali bebas dari segala kekurangan. Dalam bahasa Arab kata ‘Allah’ tidak pernah dipakai untuk benda atau zat lain apa pun. Tidak ada bahasa lain memiliki nama tertentu atau khusus untuk Dzat Yang Mahaagung itu. Nama-nama yang terdapat dalam bahasa-bahasa lain, semuanya nama-penunjuk-sifat (atributif) atau nama pemerian (deskriptif) dan seringkali dipakai dalam bentuk jamak; akan tetapi, kata ‘Allah’ tidak pernah dipakai dalam bentuk jamak. Kata ‘Allāh’ itu Isim Dzat, dan bukan Isim Musytak, tidak diambil dari kata lain, dan tidak pernah dipakai sebagai keterangan atau sifat. Karena tidak ada kata lain yang sepadan, maka nama ‘Allah’ dipergunakan di seluruh terjemahan ayat-ayat Al-Qur’an. Pandangan ini didukung oleh para ahli bahasa Arab terkemuka. Menurut pendapat yang paling tepat, kata “Allāh” adalah nama wujud bagi dzat yang wajib ada-Nya menurut Dzat-Nya Sendiri, memiliki segala sifat kesempurnaan, dan lafaz ‘al’ adalah tidak terpisahkan dari kata ‘Allah’"
4,2,"Al-Rahmān (Maha Pemurah) dan Al-Rahīm (Maha Penyayang) keduanya berasal dari akar yang sama. Rahima artinya, ia telah menampakkan kasih-sayang; ia ramah dan baik; ia memaafkan, mengampuni. Kata Rahmah menggabungkan arti Riqqah, ialah “kehalusan” dan Ihsān, ialah “kebaikan,” “kebajikan” (Mufradāt). Al- Rahmān dalam wazan (pola) Fa‘lān, dan Al-Rahīm dalam wazan Fa‘īl. Menurut kaedah gramatika Bahasa Arab, makin banyak jumlah huruf ditambahkan pada akar kata, makin luas dan mendalam pula artinya (Kasysyaf). Wazan (pola kata) fa‘lān mengandung arti keadaan penuh dan keluasan, sedangkan wazan fā‘il menunjukkan arti ulangan dan pemberian ganjaran dengan kemurahan hati kepada mereka yang layak menerimanya (Muhīt). Jadi, di mana kata Al-Rahmān menunjukkan “kasih sayang meliputi alam semesta”, kata Al-Rahīm berarti “kasih sayang yang ruang lingkupnya terbatas, tetapi berulang-ulang ditampakkan.”mengingat arti-arti di atas, Al-Rahmān itu Dzat Yang menampakkan kasih sayang dengan cuma-cuma dan meluas kepada semua makhluk tanpa mempertimbangkan usaha atau amal; dan Al-Rahīm itu Dzat Yang menampakkan kasih sayang sebagai imbalan atas amal perbuatan manusia, tetapi menampakkannya dengan murah dan berulang-ulang. Kata Al-Rahmān hanya dipakai untuk Allah Swt, sedang Al-Rahīm dipakai pula untuk manusia. Al-Rahmān tidak hanya meliputi orang-orang mukmin dan kafir saja, tetapi juga seluruh makhluk. Al-Rahīm terutama tertuju kepada orang-orang yang beriman saja. Menurut Sabda Rasulullah Saw, sifat Al-Rahmān umumnya bertalian dengan kehidupan di dunia ini, sedang sifat Al-Rahīm umumnya bertalian dengan kehidupan yang akan datang (Muhīt). Artinya, karena dunia ini pada umumnya adalah dunia perbuatan, dan karena alam akhirat itu suatu alam tempat perbuatan manusia akan diganjar dengan cara istimewa, maka sifat Al-Rahmān Allah Swt menganugerahi manusia alat dan bahan untuk melaksanakan pekerjaannya dalam kehidupan di dunia ini, adapun Sifat Al-Rahīm mendatangkan hasil dalam kehidupan yang akan datang. Segala benda yang kita perlukan dan atas itu kehidupan kita bergantung adalah semata-mata karunia Ilahi dan sudah tersedia untuk kita, sebelum kita berbuat sesuatu yang menyebabkan kita layak menerimanya, atau bahkan sebelum kita dilahirkan; sedang karunia yang tersedia untuk kita dalam kehidupan yang-akan-datang, akan dianugerahkan kepada kita sebagai ganjaran atas amal perbuatan kita. Hal itu menunjukkan bahwa Al-Rahmān itu Pemberi Karunia yang mendahului kelahiran kita, sedang Al-Rahīm itu Pemberi Nikmat-nikmat yang mengikuti amal perbuatan kita sebagai ganjarannya. Bismillāh-ir-Rahmān-ir-Rahīm adalah ayat pertama tiap-tiap surah Al-Qur’an, kecuali Al Bara’ah (At-Taubah) yang sebenarnya bukan surah yang berdiri sendiri, melainkan lanjutan surah Al-Anfal. Ada suatu hadis yang diriwayatkan oleh Ibn ‘Abbas yang maksudnya, bila sesuatu surah-baru diwahyukan, biasanya dimulai dengan ‘Bismillāh’, dan tanpa ‘Bismillāh’, Rasulullah Saw tidak mengetahui bahwa surah baru telah dimulai (Daud). Hadis ini menunjukkan bahwa (1) ‘Bismillāh’ adalah bagian Al-Qur’an dan bukan suatu tambahan, (2) bahwa surah Bara’ah itu, bukan surah yang berdiri sendiri. Hadis itu menolak pula kepercayaan yang dikemukakan oleh sementara orang bahwa, ‘Bismillāh’ hanya merupakan bagian surah Al-Fatihah saja dan bukan bagian semua surah Al-Qur’an. Selanjutnya, ada riwayat yang menyebutkan Rasulullah Saw bersabda bahwa, ayat Bismillāh itu bagian semua surah Al-Qur’an (Bukhārī dan Qutni). Ditempatkannya ‘Bismillāh’ pada permulaan tiap-tiap surah mempunyai arti seperti berikut: Al-Qur’an itu khazanah ilmu Ilahi yang tidak dapat disentuh tanpa karunia khusus dari Tuhan, “Tidak ada yang dapat memahami hakikatnya kecuali orang-orang yang disucikan” (QS.56: 80). Jadi, ‘Bismillāh’ telah ditempatkan pada permulaan tiap surah untuk memperingatkan orang Muslim bahwa, untuk dapat masuk ke dalam Khazanah ilmu Ilahi yang termuat dalam Al-Qur’an dan untuk mendapat faedah darinya ia hendaknya mendekatinya bukan saja dengan hati yang suci, melainkan ia harus pula senantiasa mohon pertolongan Allah Swt Ayat ‘Bismillāh’ mempunyai juga tujuan penting yang lain. Ayat itu ialah kunci bagi arti dan maksud tiap-tiap surah, karena segala persoalan mengenai urusan akhlak dan rohani, dengan satu atau lain cara, ada pertaliannya dengan dua Sifat Ilahi yang pokok, yaitu Rahmāniyah (Kemurahan) dan Rahīmiyah (Kasih-Sayang). Jadi tiaptiap surah pada hakikatnya, merupakan uraian terperinci dari beberapa segi Sifat-sifat Ilahi yang tersebut dalam ayat ini. Ada tuduhan bahwa kalimah ‘Bismillāh’, itu diambil dari kitab-kitab suci sebelum Al-Qur’an. Jika Sale mengatakan bahwa, kalimah itu diambil dari Zend Avesta, maka Rodwell berpendapat bahwa, orang-orang Arab sebelum Islam mengambilnya dari orang-orang Yahudi, dan kemudian dimasukkan ke dalam Al-Qur’an. Kedua paham itu nyata sekali salah. Pertama, tidak pernah dida‘wakan oleh kaum Muslimin bahwa, kalimah itu dalam bentuk ini atau sebangsanya tidak dikenal sebelum Al-Qur’an diwahyukan. Kedua, keliru sekali mengemukakan sebagai bukti bahwa, karena kalimah itu dalam bentuk yang sama atau serupa kadang-kadang dipakai oleh orangorang Arab sebelum diwahyukan dalam Al-Qur’an, maka kalimah itu tidak mungkin asalnya dari Allah Swt. Sebenarnya Al-Qur’an sendiri menegaskan bahwa, Nabi Sulaiman As memakai kalimah itu dalam suratnya kepada Ratu Saba (QS.27: 31). Apa yang dida’wakan oleh kaum Muslimin – sedang da’wa itu, tidak pernah ada yang membantah, ialah bahwa, di antara kitab-kitab suci, Al-Qur’an adalah yang pertama-tama memakai kalimah itu dengan caranya sendiri. Juga keliru sekali mengatakan bahwa, kalimah itu sudah lazim di antara orang-orang Arab sebelum Islam, sebab kenyataan yang sudah diketahui ialah bahwa, orang-orang Arab mempunyai rasa keseganan menggunakan kata Al-Rahmān sebagai panggilan untuk Allah Swt. Selain itu, jika kalimah demikian sudah dikenal sebelumnya, maka hal itu malah mendukung kebenaran ajaran Al-Qur’an bahwa, tidak ada satu kaum pun yang kepada mereka tidak pernah diutus seorang Pemberi Ingat (QS.35: 25), dan juga bahwa, Al- Qur’an itu adalah khazanah semua kebenaran yang kekal dan termaktub dalam kitabkitab suci sebelumnya (QS.98: 5). Al-Qur’an tentu menambah lebih banyak lagi dan apa pun yang diambil-alihnya, Al-Qur’an memperbaiki bentuk atau pemakaiannya, atau memperbaiki kedua-duanya."
5,2,"Dalam Bahasa Arab al itu lebih-kurang sama artinya dengan kata ‘the’ dalam bahasa Inggris. Kata al dipergunakan untuk menunjukkan keluasan yang berarti, meliputi semua segi atau jenis sesuatu pokok, atau untuk melukiskan kesempurnaan, sekaligus suatu segi keluasan oleh karena meliputi semua tingkat dan derajat. Al dipakai juga untuk menyatakan sesuatu yang telah disebut atau suatu pengertian atau konsep yang ada dalam pikiran"
5A,2,"Dalam bahasa Arab dua kata Madh dan Hamd, dipakai dalam arti pujian atau syukur; tetapi jika Madh mungkin pujian palsu, Hamd itu senantiasa benar. Juga, Madh dapat dipakai mengenai perbuatan baik yang tidak dikuasai oleh pelakunya; tetapi Hamd hanya dipakai mengenai perbuatan yang dilakukan dengan kerelaan hati dan dengan kemauan sendiri (Mufradāt). Hamd mengandung pula arti pengaguman, penyanjungan, dan penghormatan terhadap yang dituju oleh pujian itu; dan kerendahan, kehinaan, dan kepatuhan orang yang memberi pujian (Lane). Jadi, Hamd merupakan kata yang paling tepat dipakai di sini, untuk maksud mengutarakan kebaikan, dan puji-pujian yang sungguh wajar lagi layak dan sebagai sanjungan akan kemuliaan Allah Swt Menurut kebiasaan, kata Hamd, kemudian menjadi khusus ditujukan kepada Tuhan"
6,2,"Kata kerja Rabba berarti: ia mengelola urusan itu; ia memperbanyak, mengembangkan, memperbaiki, dan melengkapkan urusan itu; ia memelihara dan menjaga. Jadi Rabb berarti: (a) Tuhan, Yang Dipertuan, Khāliq (Yang menciptakan); (b) Wujud yang memelihara dan mengembangkan; (c) Wujud Yang Menyempurnakan, dengan cara setingkat demi setingkat (Mufradāt dan Lane). Dan jika dipakai dalam rangkaian dengan kata lain, kata itu dapat dipakai untuk orang atau wujud selain Allah Swt."
6A,2,"Al-‘Ālamīn adalah jamak dari al-‘Ālam, berasal dari akar kata ‘Ilm yang berarti “mengetahui.”kata itu bukan saja telah dikenakan kepada semua wujud atau benda yang dengan sarana itu orang dapat mengetahui Al-Khāliq – Maha Pencipta (Aqrab), kata tersebut dikenakan bukan saja kepada segala macam wujud atau benda yang dijadikan, tetapi pula kepada golongan-golongannya secara kolektif, sehingga orang berkata ‘Ālam al-Ins, artinya: alam manusia atau ‘Ālam al-Hayawān yakni alam binatang. Kata al-’Ālamīn tidak hanya dipakai untuk menyebut wujud-wujud berakal – manusia dan malaikat – saja, Al-Qur’an pun mengenakannya kepada semua benda yang diciptakan (QS.26:24-29 dan QS.41:10). Akan tetapi tentu saja kadang-kadang kata itu dipakai dalam arti yang terbatas (QS.2:123). Di sini kata itu dipakai dalam arti yang seluas-luasnya dan mengandung arti “segala sesuatu yang ada selain Allah” yakni benda-benda berjiwa dan tidak berjiwa dan mencakup juga benda-benda langit – matahari, bulan, bintang, dan sebagainya. Ungkapan “segala puji bagi Allah” lebih luas dan lebih mendalam artinya daripada “aku memuji Allah,” sebab manusia hanya dapat memuji Allah Swt menurut pengetahuannya, sedangkan anak kalimat “segala puji bagi Allah” meliputi bukan saja puji-pujian yang diketahui manusia bahkan juga puji-pujian yang tidak diketahuinya. Allah Swt layak mendapat puji-pujian setiap waktu, terlepas dari pengetahuan atau kesadaran manusia yang tidak sempurna. Tambahan pula kata al-Hamd adalah masdar dan karena itu dapat diartikan kedua-duanya, sebagai pokok kalimat atau sebagai tujuan kalimat. Diartikan sebagai pokok, “Alhamdulillāhi” berarti hanyalah Allah Swt yang berhak memberikan pujian sejati;dan diartikan sesuai tujuan kalimat, “Alhamdulillāhi” berarti bahwa segala pujian sejati dan tiap-tiap macam pujian yang sempurna hanya layak bagi Allah Swt semata-mata. Untuk huruf al lihat catatan nomor <a href='web+quran://quran.ahmadiyah.id/tafsir?id=5'>[5]</a>. Ayat ini mengacu kepada hukum evolusi di dunia, artinya bahwa segala sesuatu mengalami perkembangan dan bahwa perkembangan itu terus-menerus – dan terlaksana secara bertahap. Rabb adalah Wujud Yang membuat segala sesuatu tumbuh dan berkembang setingkat demi setingkat. Ayat itu menjelaskan pula bahwa prinsip evolusi tidak bertentangan dengan kepercayaan kepada Allah Swt Tetapi proses evolusi yang disebut di sini, tidak sama dengan teori evolusi seperti biasanya diartikan. Kata-kata itu dipergunakan dalam arti umum. Selanjutnya ayat ini merujuk kepada kenyataan bahwa manusia dijadikan untuk kemajuan tak terbatas, sebab ungkapan Rabbul-‘Ālamīn mengandung arti bahwa Allah Swt mengembangkan segala sesuatu dari tingkatan rendah kepada yang lebih tinggi, dan hal itu hanya mungkin jika tiap-tiap tingkatan itu diikuti oleh tingkatan lain dalam proses yang tiada henti-hentinya."
7,2,"Dalam ungkapan ‘Bismillāh’, sifat Al-Rahmān dan Al-Rahīm berlaku sebagai kunci arti seluruh surah. Sifat-sifat itu disebut di sini memenuhi satu tujuan tambahan. Sifat-sifat itu dipakai di sini, sebagai mata rantai antara Sifat “Rabbul-‘Ālamīn” dan “Māliki Yaumiddīn”."
8,2,Mālik berarti majikan atau orang yang memiliki hak atas sesuatu serta memiliki kekuasaan untuk memperlakukannya dengan sekehendaknya (Aqrab).
